experiment_no,epoch,is_model_saved,time_taken,phase,loss,metric
1,1,True,5.951206207275393,train,1.9559009030659995,0.4869375
1,1,True,1.1624822616577148,val,1.4002269083658854,0.72225
1,2,False,6.080310106277466,train,1.0216915006637572,0.783375
1,2,False,1.2556841373443604,val,0.7354450011253357,0.8403333333333334
1,3,False,5.932991027832031,train,0.6528049604098002,0.8467708333333334
1,3,False,1.1570749282836914,val,0.5358252781232198,0.87425
1,4,False,5.55718994140625,train,0.5195907537142436,0.8699375
1,4,False,1.1279830932617188,val,0.44970188347498574,0.8888333333333334
1,5,True,5.460690975189209,train,0.4522852892875671,0.883125
1,5,True,1.1242389678955078,val,0.4014428449471791,0.89575
2,1,True,5.951206207275393,train,1.9559009030659995,0.4869375
2,1,True,1.1624822616577148,val,1.4002269083658854,0.72225
2,2,True,5.659635066986084,train,1.02181139087677,0.7870416666666666
2,2,True,1.1666021347045898,val,0.7342836136817932,0.83675
2,3,False,5.661759853363037,train,0.6530293938318888,0.8452083333333333
2,3,False,1.1512460708618164,val,0.53801757701238,0.8739166666666667
2,4,False,6.04776668548584,train,0.5197294572989146,0.869625
2,4,False,1.173084020614624,val,0.4521180810928345,0.8870833333333333
2,5,True,5.692268133163452,train,0.4523237935702006,0.8821875
2,5,True,1.1643519401550293,val,0.4015226642290751,0.8945833333333333
2,6,False,5.674235105514526,train,0.4122299774487813,0.88975
2,6,False,1.1891210079193115,val,0.3729814070860545,0.8974166666666666
2,7,False,6.090950012207031,train,0.3857526036898295,0.8942708333333333
2,7,False,1.211127996444702,val,0.3518012148539225,0.9030833333333332
2,8,False,6.06581711769104,train,0.3666582807699839,0.8985208333333333
2,8,False,1.3239359855651855,val,0.33652441008885703,0.90475
2,9,False,5.9870359897613525,train,0.3520557963848114,0.9012916666666668
2,9,False,1.1537296772003174,val,0.32508963068326313,0.90775
2,10,True,5.504027843475342,train,0.3406923053264618,0.9038541666666666
2,10,True,1.3635332584381104,val,0.315478626648585,0.9101666666666668
2,11,True,6.01282000541687,train,0.33104898206392924,0.9059375
2,11,True,1.1724720001220703,val,0.3078401022752126,0.9123333333333332
2,12,False,5.713644027709961,train,0.3227191540400187,0.9079999999999999
2,12,False,1.1840152740478516,val,0.3008261750539144,0.91375
2,13,False,5.655405759811401,train,0.3158064724604289,0.9095208333333332
2,13,False,1.1793899536132812,val,0.2946640374660492,0.91475
2,14,False,5.67365288734436,train,0.3093757736682892,0.9115416666666668
2,14,False,1.1711082458496094,val,0.2896624490817388,0.9165833333333332
2,15,True,5.660605192184447,train,0.30381672286987305,0.91225
2,15,True,1.1772961616516109,val,0.2849371001720428,0.9181666666666668
2,16,False,5.676195859909058,train,0.2983696548938751,0.9143125
2,16,False,1.176922082901001,val,0.28111477684974673,0.92025
2,17,False,5.67932915687561,train,0.2936208784580231,0.9157083333333332
2,17,False,1.176685094833374,val,0.2767106989224752,0.92025
2,18,False,5.656967878341675,train,0.28913809315363564,0.9164791666666666
2,18,False,1.1727712154388428,val,0.2729683791001638,0.9216666666666666
2,19,False,5.669434070587157,train,0.2848097940286001,0.9184583333333334
2,19,False,1.1808550357818604,val,0.2691918749411901,0.9225
2,20,True,5.677095174789429,train,0.28068853823343914,0.9187708333333332
2,20,True,1.17785906791687,val,0.2664714586734772,0.9231666666666668
3,1,True,5.951206207275393,train,1.9559009030659995,0.4869375
3,1,True,1.1624822616577148,val,1.4002269083658854,0.72225
3,2,True,5.659635066986084,train,1.02181139087677,0.7870416666666666
3,2,True,1.1666021347045898,val,0.7342836136817932,0.83675
3,3,False,5.661759853363037,train,0.6530293938318888,0.8452083333333333
3,3,False,1.1512460708618164,val,0.53801757701238,0.8739166666666667
3,4,False,6.04776668548584,train,0.5197294572989146,0.869625
3,4,False,1.173084020614624,val,0.4521180810928345,0.8870833333333333
3,5,True,5.692268133163452,train,0.4523237935702006,0.8821875
3,5,True,1.1643519401550293,val,0.4015226642290751,0.8945833333333333
3,6,False,5.674235105514526,train,0.4122299774487813,0.88975
3,6,False,1.1891210079193115,val,0.3729814070860545,0.8974166666666666
3,7,False,6.090950012207031,train,0.3857526036898295,0.8942708333333333
3,7,False,1.211127996444702,val,0.3518012148539225,0.9030833333333332
3,8,False,6.06581711769104,train,0.3666582807699839,0.8985208333333333
3,8,False,1.3239359855651855,val,0.33652441008885703,0.90475
3,9,False,5.9870359897613525,train,0.3520557963848114,0.9012916666666668
3,9,False,1.1537296772003174,val,0.32508963068326313,0.90775
3,10,True,5.504027843475342,train,0.3406923053264618,0.9038541666666666
3,10,True,1.3635332584381104,val,0.315478626648585,0.9101666666666668
3,11,True,5.745512962341309,train,0.33088480639457696,0.9058125
3,11,True,1.176180124282837,val,0.3076050918499629,0.9120833333333334
3,12,False,5.639528751373291,train,0.3228941725095113,0.908125
3,12,False,1.1754961013793943,val,0.3007508660157522,0.9138333333333334
3,13,False,5.647809982299805,train,0.3158195501963297,0.9099375
3,13,False,1.1609890460968018,val,0.29478407939275103,0.915
3,14,False,5.661863327026367,train,0.30938109795252483,0.9114166666666668
3,14,False,1.170331954956055,val,0.2897439858516057,0.91625
3,15,True,5.683858871459961,train,0.3037206921577454,0.913375
3,15,True,1.1713690757751465,val,0.28499261077245075,0.9185
3,16,False,5.647650957107544,train,0.2984084462324778,0.9139375
3,16,False,1.1801090240478516,val,0.28086364110310874,0.9204166666666668
3,17,False,5.812195062637329,train,0.2935296628475189,0.9157083333333332
3,17,False,1.1802630424499512,val,0.2766204648812612,0.9205
3,18,False,5.748679161071777,train,0.2892234976291657,0.916625
